Name,Category,Product,Manufacturer,Part #,Price,Storage Conditions,Link
Columns,Columns,Empty Disposable PD-10 Columns,Cytiva,17043501,$258.30,4°C to 30°C,https://www.cytivalifesciences.com/en/us/shop/chromatography/columns/empty-columns-for-lab-scale/empty-disposable-pd-10-columns-p-06217
Ni-His Resin,Resin,NEBExpress Ni Resin,New England Biolabs,S1428S,$358.00,1°C to 4°C,https://www.neb.com/en-us/products/s1428--nebexpress-ni-resin
15 mL centrifuge tubes,Consumables,"Corning® 15 mL PP Centrifuge Tubes, Rack Packed with CentriStar™ Cap, Sterile, 50/Rack, 500/Case",Corning,430790,$230.44,4°C to 30°C,https://ecatalog.corning.com/life-sciences/b2b/UK/en/Liquid-Handling/Tubes%2°C-Liquid-Handling/Centrifuge-Tubes/Corning%C2%AE-15mL-Centrifuge-Tubes/p/430790
Potassium Hydroxide,Buffers,"Potassium hydroxide - ACS reagent, ≥85%, pellets",Sigma-Aldrich,221473-1KG,$99.90,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigald/221473
Hydrochloric acid (1M),Buffers,"Hydrochloric acid 1 N, Reagent Grade, Packaging=Amber Bottle, Size=500 mL",VWR,E447-500L,$72.46,4°C to 30°C,https://us.vwr.com/store/catalog/static_catalog.jsp?catalog_number=97064-756
HEPES,Buffers,"HEPES, Crystalline Powder, ≥99.5% (titration), Poly bottle",Sigma-Aldrich,H3375-500G,$431,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigma/h3375
Imidazole,Buffers,"ReagentPlus® Imidazole, Crystalline, 99%",Sigma-Aldrich,I202-500G,$120,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigald/213330
Ammonium Chloride,Buffers,"Ammonium chloride, ACS reagent, ≥99.5%",Sigma-Aldrich,213330-500G,$73.50,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigald/746398
Sodium Chloride,Buffers,"Sodium Chloride, Redi-Dri™, anhydrous, free-flowing, ACS, ≥99%",Sigma-Aldrich,746398-1KG,$133.00,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sial/m2670
Potassium Chloride,Buffers,"Potassium Chloride, ACS reagent, 99.0-100.5%",Sigma-Aldrich,P3911-1KG,$146.00,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigald/p3911
Magnesium Chloride hexahydrate,Buffers,"BioXtra Magnesium chloride, Hexahydrate, Powder or Crystals, ≥99.0%",Sigma-Aldrich,M2670-100G,$50.50,4°C to 30°C,https://www.thermofisher.com/order/catalog/product/77720
TCEP-HCl (0.5M; presuspended),Buffers,"Thermo Scientific, Bond-Breaker® Tris[2-Carboxyethyl]phosphine Neutral Solution (TCEP), Application=Water-Soluble Reducing Agent, Molecular Weight=286.65, Size=5 mL",Thermo Scientific,77720,$175.65,4°C to 30°C,https://www.thermofisher.com/order/catalog/product/77720
